ORDER_ID,CUSTOMER_ID,ORDER_DATE,PRODUCT_ID,AMOUNT,QTY,ORDER_LINE_NUMBER
1,1001,2001-01-11 00:00:00.0,1,59292,549,1
1,1001,2001-01-11 00:00:00.0,2,146223,1477,2
1,1001,2001-01-11 00:00:00.0,3,20934,1163,3
2,1001,2001-01-11 00:00:00.0,4,136809,1689,1
2,1001,2001-01-11 00:00:00.0,5,172840.5,1829,2
2,1001,2001-01-11 00:00:00.0,6,52164,1932,3
3,1001,2001-01-11 00:00:00.0,7,45819,1697,1
3,1001,2001-01-11 00:00:00.0,8,44865,1994,2
3,1001,2001-01-11 00:00:00.0,9,30942,764,3
4,1001,2001-01-11 00:00:00.0,6,39339,1457,1
4,1001,2001-01-11 00:00:00.0,11,16159.5,1197,2
4,1001,2001-01-11 00:00:00.0,12,22410,830,3
5,1001,2001-01-11 00:00:00.0,1,26892,249,1
5,1001,2001-01-11 00:00:00.0,3,15120,840,2
5,1001,2001-01-11 00:00:00.0,11,23260.5,1723,3
6,1001,2001-01-11 00:00:00.0,7,29322,1086,1
6,1001,2001-01-11 00:00:00.0,13,7542,1676,2
6,1001,2001-01-11 00:00:00.0,14,9509.4,587,3
7,1001,2001-01-11 00:00:00.0,3,21528,1196,1
7,1001,2001-01-11 00:00:00.0,5,168871.5,1787,2
7,1001,2001-01-11 00:00:00.0,6,41121,1523,3
8,1001,2001-01-11 00:00:00.0,2,179784,1816,1
8,1001,2001-01-11 00:00:00.0,4,144747,1787,2
8,1001,2001-01-11 00:00:00.0,10,107496,1493,3
9,1001,2001-01-11 00:00:00.0,7,13770,510,1
9,1001,2001-01-11 00:00:00.0,9,54027,1334,2
9,1001,2001-01-11 00:00:00.0,15,2779.2,1544,3
10,1001,2001-01-11 00:00:00.0,4,125712,1552,1
10,1001,2001-01-11 00:00:00.0,7,26244,972,2
10,1001,2001-01-11 00:00:00.0,9,89955,1999,3
11,1001,2001-01-11 00:00:00.0,9,90000,2000,1
11,1001,2001-01-11 00:00:00.0,9,40.5,1,2
11,1001,2001-01-11 00:00:00.0,15,3173.4,1763,3
12,1001,2001-01-11 00:00:00.0,2,37323,377,1
12,1001,2001-01-11 00:00:00.0,6,37260,1380,2
12,1001,2001-01-11 00:00:00.0,15,1101.6,612,3
13,1001,2001-01-11 00:00:00.0,2,101871,1029,1
13,1001,2001-01-11 00:00:00.0,6,27999,1037,2
13,1001,2001-01-11 00:00:00.0,15,108,60,3
14,1001,2001-01-11 00:00:00.0,2,85833,867,1
14,1001,2001-01-11 00:00:00.0,6,36126,1338,2
14,1001,2001-01-11 00:00:00.0,15,2394,1330,3
15,1001,2001-01-11 00:00:00.0,6,39501,1463,1
15,1001,2001-01-11 00:00:00.0,10,70272,976,2
15,1001,2001-01-11 00:00:00.0,15,1206,670,3
16,1001,2001-01-11 00:00:00.0,6,14931,553,1
16,1001,2001-01-11 00:00:00.0,10,127296,1768,2
16,1001,2001-01-11 00:00:00.0,15,2867.4,1593,3
17,1001,2001-01-11 00:00:00.0,8,350,14,1
17,1001,2001-01-11 00:00:00.0,8,22.5,1,2
17,1001,2001-01-11 00:00:00.0,10,10000,125,3
18,1001,2001-01-11 00:00:00.0,10,9648,134,1
18,1001,2001-01-11 00:00:00.0,11,5670,420,2
18,1001,2001-01-11 00:00:00.0,15,1470.6,817,3
19,1001,2001-01-11 00:00:00.0,6,38556,1428,1
19,1001,2001-01-11 00:00:00.0,13,657,146,2
19,1001,2001-01-11 00:00:00.0,14,16264.8,1004,3
20,1001,2001-01-11 00:00:00.0,1,133812,1239,1
20,1001,2001-01-11 00:00:00.0,6,9099,337,2
20,1001,2001-01-11 00:00:00.0,15,1452.6,807,3
21,1001,2001-01-11 00:00:00.0,2,184360,1676,1
21,1001,2001-01-11 00:00:00.0,2,99,1,2
21,1001,2001-01-11 00:00:00.0,7,52785,1955,3
22,1001,2001-01-11 00:00:00.0,4,16929,209,1
22,1001,2001-01-11 00:00:00.0,5,142884,1512,2
22,1001,2001-01-11 00:00:00.0,6,11610,430,3
22,1001,2001-01-11 00:00:00.0,8,32535,1446,4
23,1001,2001-01-11 00:00:00.0,6,18846,698,1
23,1001,2001-01-11 00:00:00.0,11,7614,564,2
23,1001,2001-01-11 00:00:00.0,13,6583.5,1463,3
23,1001,2001-01-11 00:00:00.0,15,2413.8,1341,4
24,1001,2001-01-11 00:00:00.0,3,24156,1342,1
24,1001,2001-01-11 00:00:00.0,6,9504,352,2
24,1001,2001-01-11 00:00:00.0,8,13005,578,3
24,1001,2001-01-11 00:00:00.0,15,2349,1305,4
25,1001,2001-01-11 00:00:00.0,9,19350,430,1
25,1001,2001-01-11 00:00:00.0,9,40.5,1,2
25,1001,2001-01-11 00:00:00.0,10,91008,1264,3
26,1001,2001-01-11 00:00:00.0,6,50031,1853,1
27,1001,2001-01-11 00:00:00.0,9,24300,600,1
27,1001,2001-01-11 00:00:00.0,14,20525.4,1267,2
27,1001,2001-01-11 00:00:00.0,15,241.2,134,3
28,1001,2001-01-11 00:00:00.0,5,188716.5,1997,1
28,1001,2001-01-11 00:00:00.0,6,33264,1232,2
28,1001,2001-01-11 00:00:00.0,9,4617,114,3
29,1001,2001-01-11 00:00:00.0,2,166023,1677,1
29,1001,2001-01-11 00:00:00.0,3,16758,931,2
29,1001,2001-01-11 00:00:00.0,4,135837,1677,3
30,1001,2001-01-11 00:00:00.0,3,31284,1738,1
30,1001,2001-01-11 00:00:00.0,6,46332,1716,2
30,1001,2001-01-11 00:00:00.0,15,1450.8,806,3
31,1001,2001-01-11 00:00:00.0,11,24732,1832,1
31,1001,2001-01-11 00:00:00.0,12,5238,194,2
31,1001,2001-01-11 00:00:00.0,14,29970,1850,3
32,1001,2001-01-11 00:00:00.0,11,24543,1818,1
32,1001,2001-01-11 00:00:00.0,12,23679,877,2
32,1001,2001-01-11 00:00:00.0,13,3006,668,3
32,1001,2001-01-11 00:00:00.0,14,22631.4,1397,4
32,1001,2001-01-11 00:00:00.0,15,3076.2,1709,5
33,1001,2001-01-11 00:00:00.0,6,8559,317,1
33,1001,2001-01-11 00:00:00.0,7,49221,1823,2
33,1001,2001-01-11 00:00:00.0,8,13590,604,3
33,1001,2001-01-11 00:00:00.0,9,70672.5,1745,4
33,1001,2001-01-11 00:00:00.0,10,94104,1307,5
34,1001,2001-01-11 00:00:00.0,1,48276,447,1
34,1001,2001-01-11 00:00:00.0,2,21681,219,2
34,1001,2001-01-11 00:00:00.0,3,2178,121,3
34,1001,2001-01-11 00:00:00.0,4,7371,91,4
34,1001,2001-01-11 00:00:00.0,5,129559.5,1371,5
35,1001,2001-01-11 00:00:00.0,1,197280,1644,1
35,1001,2001-01-11 00:00:00.0,1,120,1,2
35,1001,2001-01-11 00:00:00.0,1,120,1,3
35,1001,2001-01-11 00:00:00.0,1,120,1,4
36,1001,2001-01-11 00:00:00.0,1,660000,5500,1
36,1001,2001-01-11 00:00:00.0,1,108,1,2
36,1001,2001-01-11 00:00:00.0,6,31428,1164,3
36,1001,2001-01-11 00:00:00.0,12,47250,1750,4
37,1001,2001-01-11 00:00:00.0,3,12840,642,1
37,1001,2001-01-11 00:00:00.0,3,18,1,2
37,1001,2001-01-11 00:00:00.0,5,33358.5,353,3
37,1001,2001-01-11 00:00:00.0,11,135,10,4
38,1001,2001-01-11 00:00:00.0,7,25731,953,1
38,1001,2001-01-11 00:00:00.0,13,5105,1021,2
38,1001,2001-01-11 00:00:00.0,13,4.5,1,3
38,1001,2001-01-11 00:00:00.0,14,28576.8,1764,4
39,1001,2001-01-11 00:00:00.0,3,34740,1930,1
39,1001,2001-01-11 00:00:00.0,5,132867,1406,2
39,1001,2001-01-11 00:00:00.0,6,49110,1637,3
39,1001,2001-01-11 00:00:00.0,6,27,1,4
40,1001,2001-01-11 00:00:00.0,2,62370,567,1
40,1001,2001-01-11 00:00:00.0,2,110,1,2
40,1001,2001-01-11 00:00:00.0,2,99,1,3
40,1001,2001-01-11 00:00:00.0,10,129384,1797,4
41,1001,2001-01-11 00:00:00.0,2,121220,1102,1
41,1001,2001-01-11 00:00:00.0,2,110,1,2
41,1001,2001-01-11 00:00:00.0,2,110,1,3
41,1001,2001-01-11 00:00:00.0,2,110,1,4
42,1001,2001-01-11 00:00:00.0,2,550000,5000,1
42,1001,2001-01-11 00:00:00.0,2,33000,300,2
42,1001,2001-01-11 00:00:00.0,2,99,1,3
42,1001,2001-01-11 00:00:00.0,3,240,12,4
43,1001,2001-01-11 00:00:00.0,3,34000,1700,1
43,1001,2001-01-11 00:00:00.0,3,20,1,2
43,1001,2001-01-11 00:00:00.0,3,20,1,3
43,1001,2001-01-11 00:00:00.0,3,20,1,4
44,1001,2001-01-11 00:00:00.0,3,60000,3000,1
44,1001,2001-01-11 00:00:00.0,3,20,1,2
44,1001,2001-01-11 00:00:00.0,3,18,1,3
44,1001,2001-01-11 00:00:00.0,4,64260,714,4
45,1001,2001-01-11 00:00:00.0,4,18000,200,1
45,1001,2001-01-11 00:00:00.0,4,81,1,2
45,1001,2001-01-11 00:00:00.0,10,43120,539,3
45,1001,2001-01-11 00:00:00.0,10,72,1,4
46,1001,2001-01-11 00:00:00.0,4,119340,1326,1
46,1001,2001-01-11 00:00:00.0,4,90,1,2
46,1001,2001-01-11 00:00:00.0,4,81,1,3
46,1001,2001-01-11 00:00:00.0,5,64785,617,4
47,1001,2001-01-11 00:00:00.0,5,52500,500,1
47,1001,2001-01-11 00:00:00.0,5,105,1,2
47,1001,2001-01-11 00:00:00.0,5,105,1,3
48,1001,2001-01-11 00:00:00.0,5,84000,800,1
48,1001,2001-01-11 00:00:00.0,5,94.5,1,2
48,1001,2001-01-11 00:00:00.0,6,24057,891,3
49,1001,2001-01-11 00:00:00.0,2,64845,655,1
49,1001,2001-01-11 00:00:00.0,8,30420,1352,2
